Feature,VIF,random_state
CNA_Subtype_Chr20q13_amp,1.4635556214204843,4
CNA_Subtype_Low_CIN,2.1164699549910444,4
pr3004_huwe1,1.072009182502271,4
pr9001_cald1,1.1426028967037034,4
pr12191_tank,1.1815602275776012,4
pr19936_tpm4,1.1376253452621252,4
pr41492_ftx,1.2306517623635382,4
const,15.894254737578898,5
Size_cm,1.0792114269315838,5
Ki67,1.1590975879223888,5
Age_at_surgery,1.064294783042108,5
CNA_Subtype_Chr8p21_del,1.6301096550569971,5
CNA_Subtype_Chr9p23_amp,1.6248927410787326,5
CNA_Subtype_Chr12p13_amp,1.7366162620820622,5
CNA_Subtype_Chr13q34_amp,1.410621643715165,5
CNA_Subtype_Chr20q13_amp,1.4917707068040316,5
CNA_Subtype_Low_CIN,2.148266104845964,5
pr3004_huwe1,1.0963647093448108,5
pr9001_cald1,1.0891976626575437,5
pr12191_tank,1.136816274813883,5
pr19936_tpm4,1.0839087864517063,5
pr41492_ftx,1.1613939512387352,5
const,15.674959915232655,6
Size_cm,1.0307885765760034,6
Ki67,1.1545527420502633,6
Age_at_surgery,1.0654332494560372,6
CNA_Subtype_Chr8p21_del,1.563383922742671,6
CNA_Subtype_Chr9p23_amp,1.5120366597044992,6
CNA_Subtype_Chr12p13_amp,1.6281910591559214,6
CNA_Subtype_Chr13q34_amp,1.2924282713287538,6
CNA_Subtype_Chr20q13_amp,1.409139443568914,6
CNA_Subtype_Low_CIN,1.972885719465627,6
pr3004_huwe1,1.111167045217481,6
pr9001_cald1,1.120017260979251,6
pr12191_tank,1.123583543762433,6
pr19936_tpm4,1.0793160099725647,6
pr41492_ftx,1.1633841988245464,6
const,15.636919235193677,7
Size_cm,1.0428526926037536,7
Ki67,1.1091163487755469,7
Age_at_surgery,1.058416626387988,7
CNA_Subtype_Chr8p21_del,1.5291363228604886,7
CNA_Subtype_Chr9p23_amp,1.543009631554198,7
CNA_Subtype_Chr12p13_amp,1.5193366064389326,7
CNA_Subtype_Chr13q34_amp,1.3506477646655848,7
CNA_Subtype_Chr20q13_amp,1.3051607523725377,7
CNA_Subtype_Low_CIN,1.939679041941188,7
pr3004_huwe1,1.102675261381979,7
pr9001_cald1,1.1379789316263698,7
pr12191_tank,1.077110307700896,7
pr19936_tpm4,1.1036320428983233,7
pr41492_ftx,1.1262832459839411,7
const,16.85475853064426,8
Size_cm,1.0526843246962088,8
Ki67,1.135661091965934,8
Age_at_surgery,1.0340574928397546,8
CNA_Subtype_Chr8p21_del,1.6375969994351738,8
CNA_Subtype_Chr9p23_amp,1.4890169865783955,8
CNA_Subtype_Chr12p13_amp,1.6928219376822182,8
CNA_Subtype_Chr13q34_amp,1.362268195717394,8
CNA_Subtype_Chr20q13_amp,1.4076267242067009,8
CNA_Subtype_Low_CIN,2.12286145698219,8
pr3004_huwe1,1.1030961719196524,8
pr9001_cald1,1.1634471286604529,8
pr12191_tank,1.1237572717302209,8
pr19936_tpm4,1.086838508660481,8
pr41492_ftx,1.1633445264211817,8
const,16.79752940717692,9
Size_cm,1.0232917026836394,9
Ki67,1.2165147852979248,9
Age_at_surgery,1.0843974718877645,9
CNA_Subtype_Chr8p21_del,1.5989652872338844,9
CNA_Subtype_Chr9p23_amp,1.5316705497826186,9
CNA_Subtype_Chr12p13_amp,1.679090903472612,9
CNA_Subtype_Chr13q34_amp,1.3417232291898586,9
CNA_Subtype_Chr20q13_amp,1.4301327640156305,9
CNA_Subtype_Low_CIN,2.195540327675529,9
pr3004_huwe1,1.1235759977935695,9
pr9001_cald1,1.0997042814620523,9
pr12191_tank,1.1136251634926526,9
pr19936_tpm4,1.0969994803125225,9
pr41492_ftx,1.1329828913051274,9
const,18.30769705551786,10
Size_cm,1.0655692805182535,10
Ki67,1.1298555607277638,10
Age_at_surgery,1.074567518184368,10
CNA_Subtype_Chr8p21_del,1.570234552790731,10
CNA_Subtype_Chr9p23_amp,1.5258621964379817,10
CNA_Subtype_Chr12p13_amp,1.4754125858015656,10
CNA_Subtype_Chr13q34_amp,1.317306741502317,10
CNA_Subtype_Chr20q13_amp,1.430764605983592,10
CNA_Subtype_Low_CIN,1.950864826788708,10
pr3004_huwe1,1.1069454772207006,10
pr9001_cald1,1.1135837954386736,10
pr12191_tank,1.089379358412456,10
pr19936_tpm4,1.0983566832980145,10
pr41492_ftx,1.1754490943921518,10
const,16.798155083717283,11
Size_cm,1.038456491537202,11
Ki67,1.1549218279795257,11
Age_at_surgery,1.0497295737653771,11
CNA_Subtype_Chr8p21_del,1.6230751289877816,11
CNA_Subtype_Chr9p23_amp,1.522792590865834,11
CNA_Subtype_Chr12p13_amp,1.7350891530963588,11
CNA_Subtype_Chr13q34_amp,1.4240259985868788,11
CNA_Subtype_Chr20q13_amp,1.366106727766015,11
CNA_Subtype_Low_CIN,2.1806773599310443,11
pr3004_huwe1,1.1131037081171746,11
pr9001_cald1,1.0799589658894255,11
pr12191_tank,1.143379121873423,11
pr19936_tpm4,1.08308086380517,11
pr41492_ftx,1.1749761134244967,11
const,16.885305494372293,12
Size_cm,1.0795226122042882,12
Ki67,1.1149934209948436,12
Age_at_surgery,1.0432755481600713,12
CNA_Subtype_Chr8p21_del,1.8340084178067324,12
CNA_Subtype_Chr9p23_amp,1.5740344522486371,12
CNA_Subtype_Chr12p13_amp,1.7691563167976134,12
CNA_Subtype_Chr13q34_amp,1.356374321549231,12
CNA_Subtype_Chr20q13_amp,1.4398064815448095,12
CNA_Subtype_Low_CIN,2.2231023386506608,12
pr3004_huwe1,1.082552946957622,12
pr9001_cald1,1.08945824546116,12
pr12191_tank,1.0867133953427934,12
pr19936_tpm4,1.096259472544257,12
pr41492_ftx,1.1691019562243845,12
const,16.516594848982795,13
Size_cm,1.0741014902545007,13
Ki67,1.132458929310597,13
Age_at_surgery,1.0530127748924225,13
CNA_Subtype_Chr8p21_del,1.6425287978509389,13
CNA_Subtype_Chr9p23_amp,1.5584201766338934,13
CNA_Subtype_Chr12p13_amp,1.5840858206105906,13
CNA_Subtype_Chr13q34_amp,1.3897404425518023,13
CNA_Subtype_Chr20q13_amp,1.416346192050209,13
CNA_Subtype_Low_CIN,2.0851090205955902,13
pr3004_huwe1,1.1008181702114297,13
pr9001_cald1,1.1424701328673232,13
pr12191_tank,1.0881923179349569,13
pr19936_tpm4,1.098306846822491,13
pr41492_ftx,1.1442559867746158,13
const,16.538378584451788,14
Size_cm,1.075686810104986,14
Ki67,1.1417930264037188,14
Age_at_surgery,1.058322301598273,14
CNA_Subtype_Chr8p21_del,1.6779743459825145,14
CNA_Subtype_Chr9p23_amp,1.5618481249157068,14
CNA_Subtype_Chr12p13_amp,1.7443460393236323,14
CNA_Subtype_Chr13q34_amp,1.3507893453538529,14
CNA_Subtype_Chr20q13_amp,1.4412796955341205,14
CNA_Subtype_Low_CIN,2.2027467696850302,14
pr3004_huwe1,1.0675041050850025,14
pr9001_cald1,1.1336236428235038,14
pr12191_tank,1.1029075547756184,14
pr19936_tpm4,1.1112734168639964,14
pr41492_ftx,1.1366207665328931,14
