sample	ENST00000524023.1
GTEX-146FR-1726-SM-5Q5DT	-9.966
GTEX-146FQ-0326-SM-5NQAX	-3.047
GTEX-ZF28-0526-SM-4WKGW	-4.035
GTEX-12C56-1926-SM-5FQUG	-4.293
GTEX-13SLW-0326-SM-5RQK5	-4.608
GTEX-PSDG-0426-SM-5SI86	-9.966
GTEX-139TU-0526-SM-5J2M8	-9.966
GTEX-13OVJ-0226-SM-5L3GK	-9.966
GTEX-ZAK1-0526-SM-5K7X4	-3.458
GTEX-13OVI-1726-SM-5L3DW	-9.966
GTEX-ZYVF-0626-SM-5E43Q	-9.966
GTEX-11GS4-2526-SM-5A5KT	-9.966
GTEX-X4XY-0626-SM-4E3IN	-9.966
GTEX-ZZPT-0626-SM-5GZXT	-3.458
GTEX-WFON-2326-SM-3LK7M	-9.966
GTEX-U412-0326-SM-5BC7E	-9.966
GTEX-117YX-2526-SM-5EQ4Q	-9.966
GTEX-11DXX-2726-SM-5PNXO	-4.293
GTEX-12WSM-0326-SM-5LZVI	-9.966
GTEX-139D8-0726-SM-5P9GJ	-9.966
GTEX-Y5V5-2526-SM-4VBQ4	-9.966
GTEX-ZYY3-0526-SM-5E45G	-9.966
GTEX-1122O-2426-SM-5GIDN	-9.966
GTEX-RM2N-1626-SM-2TF5N	-9.966
GTEX-PWCY-2026-SM-5SI8R	-9.966
GTEX-ZVT2-2426-SM-57WCQ	-9.966
GTEX-XUJ4-2626-SM-4BOQ3	-9.966
GTEX-14BIL-0326-SM-5SI9Q	-9.966
GTEX-Y114-2526-SM-4TT8M	-9.966
GTEX-11XUK-2226-SM-5CVLL	-9.966
GTEX-13FTX-2026-SM-5L3D6	-9.966
GTEX-YECK-0626-SM-4W1ZE	-5.574
GTEX-ZYW4-0526-SM-5GZZ5	-5.574
GTEX-139TT-0426-SM-5IJFA	-5.012
GTEX-144GO-1326-SM-5Q5EL	-9.966
GTEX-NPJ8-1626-SM-2HMIY	-9.966
GTEX-13X6I-0526-SM-5QGP8	-5.012
GTEX-13D11-2526-SM-5KM28	-5.012
GTEX-WY7C-2526-SM-3NB2N	-9.966
GTEX-ZVE1-0526-SM-5NQ71	-9.966
GTEX-Y5LM-2126-SM-4VDSY	-9.966
GTEX-ZWKS-0326-SM-5NQ7G	-9.966
GTEX-OXRN-1326-SM-3LK5V	-9.966
GTEX-WYJK-1726-SM-3NM9U	-9.966
GTEX-12WSA-0726-SM-5FQU2	-9.966
GTEX-OXRO-1726-SM-3LK6C	-9.966
GTEX-SIU7-1826-SM-2XCE2	-9.966
GTEX-1117F-0426-SM-5EGHI	-9.966
GTEX-PX3G-1626-SM-2S1PT	-9.966
GTEX-PWN1-1626-SM-2S1OL	-9.966
GTEX-132NY-0726-SM-5KLZM	-4.035
GTEX-ZZPU-2626-SM-5E45Y	-9.966
GTEX-WOFL-0626-SM-3MJG3	-5.574
GTEX-RU72-1326-SM-2TF6T	-4.293
GTEX-13QIC-1226-SM-5K7YR	-9.966
GTEX-1192X-0426-SM-5GIEE	-3.816
GTEX-13PDP-0326-SM-5K7XP	-9.966
GTEX-ZVT4-0326-SM-51MS5	-9.966
GTEX-Y8LW-2026-SM-4V6G8	-9.966
GTEX-11TUW-2526-SM-5EQKN	-9.966
GTEX-11DXW-0726-SM-5H12J	-2.826
GTEX-VUSH-0326-SM-3NB2I	-9.966
GTEX-13NYS-0326-SM-5MR4L	-4.608
GTEX-13QBU-2426-SM-5LU4L	-9.966
GTEX-ZVZP-2526-SM-57WBR	-9.966
GTEX-ZLV1-2126-SM-4WWD2	-9.966
GTEX-OHPL-1626-SM-2HMIR	-9.966
GTEX-WZTO-0826-SM-3NM8Q	-9.966
GTEX-XPVG-2526-SM-4B66D	-9.966
GTEX-XBEW-1026-SM-4QARV	-9.966
GTEX-WOFM-1326-SM-3MJFR	-9.966
GTEX-WXYG-2526-SM-3NB3F	-9.966
GTEX-R55C-1726-SM-3GADJ	-9.966
GTEX-13G51-2726-SM-5LZZ9	-9.966
GTEX-11EMC-2626-SM-59864	-9.966
GTEX-144FL-0326-SM-5O99O	-4.293
GTEX-XUZC-2126-SM-4BRW8	-9.966
GTEX-SSA3-0326-SM-47JWY	-9.966
GTEX-13YAN-0526-SM-5O9BE	-5.012
GTEX-14A6H-2826-SM-5QGPM	-9.966
GTEX-P78B-1626-SM-2S1O1	-9.966
GTEX-13FTW-2326-SM-5K7YS	-9.966
GTEX-P44G-0526-SM-2XCD1	-9.966
GTEX-ZAB4-0426-SM-5HL7N	-4.293
GTEX-11DXY-2726-SM-5GID2	-3.047
GTEX-11ZVC-2726-SM-5FQSZ	-2.388
GTEX-PLZ6-1526-SM-2S1OC	-9.966
GTEX-WK11-2526-SM-3NM9Y	-2.245
GTEX-14A5H-0326-SM-5RQIB	-4.608
GTEX-ZT9X-1826-SM-57WDU	-3.816
GTEX-ZE7O-0326-SM-51MTH	-9.966
GTEX-QV31-1426-SM-2S1QD	-9.966
GTEX-11TT1-2326-SM-5GU6N	-9.966
GTEX-S4Z8-1826-SM-3K2BH	-9.966
GTEX-X4EO-0526-SM-3P5Z3	-4.035
GTEX-WRHK-1626-SM-3MJFH	-4.608
GTEX-ZDYS-1726-SM-5HL4Y	-9.966
GTEX-12WSB-0326-SM-5GCP4	-2.466
GTEX-12WSC-0326-SM-5EQ5E	-1.994
GTEX-113JC-2726-SM-5EGIS	-9.966
GTEX-132Q8-0626-SM-5L3F3	-9.966
GTEX-U3ZH-1926-SM-4DXTR	-9.966
GTEX-OHPK-1626-SM-2YUN3	-5.574
GTEX-1399R-2526-SM-5IFG2	-9.966
GTEX-1211K-2126-SM-59HJZ	-9.966
GTEX-12ZZX-0326-SM-5DUVH	-9.966
GTEX-U412-0326-SM-5DUVP	-9.966
GTEX-13NZA-0526-SM-5L3D7	-9.966
GTEX-13S86-2326-SM-5RQK1	-9.966
GTEX-ZPCL-2026-SM-57WFD	-9.966
GTEX-SNMC-1426-SM-2XCFM	-3.626
GTEX-111YS-2326-SM-5987L	-9.966
GTEX-Y3IK-2626-SM-4WWDK	-4.608
GTEX-144GL-0326-SM-5QGOY	-3.171
GTEX-145LU-2026-SM-5Q5E8	-3.171
GTEX-13112-2626-SM-5BC66	-5.012
GTEX-Y111-0326-SM-4SOIX	-4.608
GTEX-11WQC-2626-SM-5CVLF	-9.966
GTEX-13OVG-2126-SM-5KM1K	-9.966
GTEX-11VI4-1926-SM-5CVLI	-9.966
GTEX-WHSE-0526-SM-4SOJ6	-9.966
GTEX-P4QT-1626-SM-5S2UR	-9.966
GTEX-1399Q-2426-SM-5J2MO	-9.966
GTEX-ZQUD-1726-SM-51MRQ	-9.966
GTEX-ZYT6-1626-SM-5E45R	-2.635
GTEX-ZZ64-1526-SM-5E43K	-4.293
GTEX-X4XX-0626-SM-3NMC1	-5.012
GTEX-Y8E5-0326-SM-57WBM	-9.966
GTEX-Y8DK-0326-SM-4TT3P	-4.608
GTEX-ZDTS-0526-SM-4WKH9	-2.114
GTEX-ZP4G-2026-SM-57WEH	-3.458
GTEX-OIZG-1326-SM-2HMIQ	-3.816
GTEX-P4PQ-1626-SM-2HMKK	-9.966
GTEX-YFCO-1926-SM-4W212	-9.966
GTEX-OXRP-2326-SM-2S1NL	-9.966
GTEX-11DXZ-2426-SM-5N9DT	-2.178
GTEX-R55D-0626-SM-3GAD5	-9.966
GTEX-11UD1-0326-SM-5EQKX	-3.171
GTEX-11ZTT-2626-SM-5EQKK	-9.966
GTEX-13IVO-0626-SM-5LZYJ	-9.966
GTEX-P4PP-1626-SM-2HMJF	-3.047
GTEX-13111-2226-SM-5LZUE	-9.966
GTEX-PW2O-1726-SM-2S1OO	-3.458
GTEX-T5JW-1826-SM-3GAE1	-9.966
GTEX-S3XE-2026-SM-3K2B5	-9.966
GTEX-11EQ9-2126-SM-5PNVW	-4.608
GTEX-RU1J-1726-SM-2TF5S	-9.966
GTEX-14BMU-2026-SM-5S2W6	-9.966
GTEX-ZAJG-0526-SM-5S2MT	-3.308
GTEX-11EQ8-0526-SM-5N9BC	-9.966
GTEX-WFG8-2426-SM-3GILL	-9.966
GTEX-QCQG-2126-SM-2S1P8	-9.966
GTEX-U4B1-1626-SM-3DB8N	-9.966
GTEX-11OC5-0326-SM-5PNW5	-2.548
