"","Run","batch","Tumor_Normal1","tnbctype_4","bl1_vs_rest"
"SRR8613788","SRR8613788","batch3","Tumor","BL1","BL1"
"SRR8613789","SRR8613789","batch3","Tumor","BL2","REST"
"SRR8613790","SRR8613790","batch3","Tumor","LAR","REST"
"SRR8613791","SRR8613791","batch3","Tumor","BL2","REST"
"SRR8613792","SRR8613792","batch3","Tumor","M","REST"
"SRR8613793","SRR8613793","batch3","Tumor","M","REST"
"SRR8613794","SRR8613794","batch3","Tumor","LAR","REST"
"SRR8613795","SRR8613795","batch3","Tumor","BL1","BL1"
"SRR8613796","SRR8613796","batch3","Tumor","LAR","REST"
"SRR8613797","SRR8613797","batch3","Tumor","BL1","BL1"
"SRR8613798","SRR8613798","batch3","Tumor","M","REST"
"SRR8613799","SRR8613799","batch3","Tumor","BL1","BL1"
"SRR8613800","SRR8613800","batch3","Tumor","M","REST"
"SRR8613803","SRR8613803","batch3","Tumor","BL2","REST"
"SRR8613804","SRR8613804","batch3","Tumor","LAR","REST"
"SRR8613805","SRR8613805","batch3","Tumor","LAR","REST"
"SRR8613806","SRR8613806","batch3","Tumor","BL1","BL1"
"SRR8613807","SRR8613807","batch3","Tumor","BL1","BL1"
"SRR8613808","SRR8613808","batch3","Tumor","M","REST"
"SRR8613809","SRR8613809","batch3","Tumor","M","REST"
"SRR8613810","SRR8613810","batch3","Tumor","BL2","REST"
"SRR8613811","SRR8613811","batch3","Tumor","M","REST"
"SRR8613812","SRR8613812","batch3","Tumor","M","REST"
"SRR8613813","SRR8613813","batch3","Tumor","LAR","REST"
"SRR8613814","SRR8613814","batch3","Tumor","M","REST"
