Genes,log2foldChange,pValues,FDR
ENSG00000223882.1,-1.470217335,4.99E-09,1.29E-08
ENSG00000223946.1,-1.631650807,0.006955119,0.010007998
ENSG00000223969.7,-3.253489013,1.44E-07,3.27E-07
ENSG00000224007.1,-1.024262776,1.05E-08,2.65E-08
ENSG00000224019.1,-1.273950817,5.23E-16,2.51E-15
ENSG00000224063.6,-1.198531799,1.48E-25,2.07E-24
ENSG00000224116.7,-4.04218111,5.62E-24,6.40E-23
ENSG00000224165.8,-1.575074894,2.37E-21,1.97E-20
ENSG00000224189.8,-1.007055069,3.11E-17,1.68E-16
ENSG00000224207.3,-2.969071637,1.90E-14,7.88E-14
ENSG00000224238.2,-1.046011834,3.34E-32,1.64E-30
ENSG00000224295.3,-2.437351876,2.12E-11,6.78E-11
ENSG00000224307.4,-1.176563724,1.32E-09,3.61E-09
ENSG00000224367.6,-1.265771788,1.52E-16,7.68E-16
ENSG00000224383.8,-1.170604671,1.50E-08,3.72E-08
ENSG00000224424.8,-1.061270622,0.005706283,0.00829781
ENSG00000224448.1,-2.738184686,0.02973453,0.03955705
ENSG00000224468.3,-1.399730059,5.00E-23,5.05E-22
ENSG00000224584.2,-1.435596841,3.32E-25,4.42E-24
ENSG00000224593.1,-3.021213711,4.15E-18,2.46E-17
ENSG00000224802.2,-2.413099239,4.86E-07,1.06E-06
ENSG00000224831.3,-2.272560506,9.77E-14,3.80E-13
ENSG00000224945.1,-1.650250043,0.000894637,0.001423427
ENSG00000224986.2,-1.458036585,2.84E-27,5.14E-26
ENSG00000225014.1,-1.339895376,2.23E-20,1.69E-19
ENSG00000225037.1,-1.618486051,0.006897746,0.0099301
ENSG00000225076.1,-1.866356113,0.000145622,0.000251202
ENSG00000225096.3,-2.151786352,1.82E-22,1.73E-21
ENSG00000225125.2,-3.89678959,4.37E-19,2.87E-18
ENSG00000225131.2,-1.018822349,3.70E-15,1.64E-14
ENSG00000225195.2,-3.122181135,0.000125015,0.000217034
ENSG00000225272.2,-1.242784971,0.000927578,0.001473469
ENSG00000225311.1,-2.006738162,1.69E-13,6.43E-13
ENSG00000225400.1,-2.101096417,3.87E-09,1.01E-08
ENSG00000225479.1,-1.020676895,6.06E-12,2.03E-11
ENSG00000225528.4,-3.902452217,2.77E-07,6.16E-07
ENSG00000225568.1,-1.62239642,1.48E-05,2.81E-05
ENSG00000225689.2,-1.6909176,1.58E-10,4.67E-10
ENSG00000225721.5,-5.776556724,7.69E-12,2.55E-11
ENSG00000225756.1,-1.500894475,0.040852884,0.05334861
ENSG00000225761.1,-1.91861572,4.64E-18,2.74E-17
ENSG00000225793.5,-1.133547002,4.99E-21,4.02E-20
ENSG00000225886.3,-2.985864479,3.88E-06,7.74E-06
ENSG00000226004.2,-1.184884227,2.74E-18,1.66E-17
ENSG00000226012.1,-1.185943074,7.06E-19,4.52E-18
ENSG00000226048.1,-1.93004716,3.38E-05,6.19E-05
ENSG00000226056.1,-1.026611902,0.000543036,0.000884188
ENSG00000226237.4,-1.316513579,6.66E-29,1.59E-27
ENSG00000226263.1,-5.62164643,7.23E-24,8.12E-23
ENSG00000226272.5,-1.364985766,3.96E-20,2.91E-19
ENSG00000226306.8,-1.16409702,3.30E-10,9.51E-10
ENSG00000226329.2,-1.718514539,4.86E-28,9.98E-27
ENSG00000226334.1,-4.538137661,0.017691957,0.024238621
ENSG00000226383.7,-1.032980746,0.000449635,0.000738579
ENSG00000226438.1,-1.771406486,1.51E-05,2.86E-05
ENSG00000226493.1,-2.888213955,1.24E-07,2.84E-07
ENSG00000226520.1,-1.552554749,1.84E-08,4.54E-08
ENSG00000226552.2,-1.899385965,4.09E-11,1.27E-10
ENSG00000226599.1,-1.175147735,1.61E-07,3.65E-07
ENSG00000226673.2,-1.260539442,1.39E-10,4.14E-10
ENSG00000226777.9,-1.665476312,8.22E-05,0.00014497
ENSG00000226806.1,-1.012642918,6.12E-23,6.12E-22
ENSG00000226874.1,-1.643762838,9.92E-13,3.55E-12
ENSG00000227017.1,-1.639491464,9.48E-18,5.43E-17
ENSG00000227189.2,-1.492323422,1.60E-14,6.67E-14
ENSG00000227240.2,-1.406703294,1.13E-13,4.37E-13
ENSG00000227256.1,-2.067398163,2.47E-08,6.01E-08
ENSG00000227290.2,-1.153124848,0.000160304,0.000275429
ENSG00000227433.1,-3.256658928,1.28E-06,2.67E-06
ENSG00000227474.1,-2.055761473,0.000478411,0.000783414
ENSG00000227528.6,-1.66404703,3.17E-26,4.89E-25
ENSG00000227698.1,-2.079690709,9.07E-07,1.92E-06
ENSG00000227722.2,-1.169851057,8.37E-10,2.32E-09
ENSG00000227740.2,-2.694995468,0.000343833,0.000571986
ENSG00000227911.3,-1.441868481,8.90E-23,8.75E-22
ENSG00000227925.2,-1.188569578,1.34E-17,7.51E-17
ENSG00000227950.1,-2.035973201,2.08E-09,5.57E-09
ENSG00000227953.7,-2.233492722,3.44E-13,1.28E-12
ENSG00000227964.1,-2.618339275,9.83E-20,6.91E-19
ENSG00000228014.1,-2.415437341,8.54E-05,0.000150386
ENSG00000228028.2,-3.401393378,3.61E-06,7.23E-06
ENSG00000228073.1,-1.960294019,2.34E-07,5.24E-07
ENSG00000228113.7,-2.989335504,5.16E-20,3.75E-19
ENSG00000228219.1,-1.183240549,2.90E-05,5.35E-05
ENSG00000228403.1,-1.540149215,2.73E-09,7.26E-09
ENSG00000228427.5,-2.991708016,5.76E-16,2.76E-15
ENSG00000228485.1,-1.88770692,1.93E-22,1.82E-21
ENSG00000228495.3,-1.695215738,3.16E-23,3.28E-22
ENSG00000228532.4,-1.378675774,1.25E-08,3.12E-08
ENSG00000228536.3,-1.214999206,7.86E-26,1.15E-24
ENSG00000228541.3,-2.326814597,1.23E-10,3.68E-10
ENSG00000228590.4,-2.025058761,8.39E-19,5.34E-18
ENSG00000228741.2,-5.825142353,0.000274122,0.000460287
ENSG00000228753.1,-1.046594967,0.006418049,0.009277843
ENSG00000228768.3,-1.379998496,9.38E-07,1.98E-06
ENSG00000228838.1,-1.397797953,1.18E-19,8.24E-19
ENSG00000228839.5,-1.419436629,0.001060513,0.001674577
ENSG00000228886.1,-1.330309708,1.51E-27,2.87E-26
ENSG00000228929.1,-1.593512995,0.005803401,0.008432238
ENSG00000228971.4,-4.821437667,2.20E-25,3.01E-24
ENSG00000229007.1,-1.473749989,3.08E-22,2.84E-21
ENSG00000229018.5,-1.618789526,4.88E-06,9.65E-06
ENSG00000229065.1,-1.809494868,2.16E-14,8.92E-14
ENSG00000229105.1,-1.521253092,5.17E-13,1.90E-12
ENSG00000229109.2,-2.404123243,3.31E-11,1.04E-10
ENSG00000229154.2,-4.664268493,4.56E-12,1.54E-11
ENSG00000229162.1,-3.015137959,1.85E-12,6.48E-12
ENSG00000229173.1,-1.307728631,1.31E-06,2.73E-06
ENSG00000229235.1,-1.082355483,4.66E-11,1.44E-10
ENSG00000229314.6,-2.020480638,5.09E-08,1.21E-07
ENSG00000229339.1,-4.760759079,6.51E-18,3.79E-17
ENSG00000229455.2,-1.305977578,4.43E-08,1.06E-07
ENSG00000229519.2,-1.068626388,2.07E-12,7.21E-12
ENSG00000229544.9,-4.952996081,1.50E-09,4.08E-09
ENSG00000229585.4,-3.37190333,2.18E-14,8.98E-14
ENSG00000229688.8,-1.683911652,1.12E-06,2.36E-06
ENSG00000229715.5,-4.148594005,1.68E-20,1.29E-19
ENSG00000229742.1,-1.403329593,3.13E-10,9.04E-10
ENSG00000229780.1,-1.743140257,1.58E-07,3.58E-07
ENSG00000229794.2,-4.45305803,1.91E-07,4.29E-07
ENSG00000229847.9,-2.000955979,7.06E-26,1.04E-24
ENSG00000229873.2,-5.834137141,0.000228304,0.000386483
ENSG00000229918.1,-3.700957023,2.01E-15,9.14E-15
ENSG00000230022.1,-1.186217546,1.97E-06,4.04E-06
ENSG00000230067.3,-1.185365169,5.81E-16,2.78E-15
ENSG00000230107.1,-3.84896771,2.93E-19,1.96E-18
ENSG00000230148.8,-1.62880742,5.31E-13,1.95E-12
ENSG00000230155.8,-1.787874196,4.81E-21,3.89E-20
ENSG00000230175.1,-1.119731863,0.000760655,0.00122
ENSG00000230300.1,-1.081650108,8.68E-18,4.99E-17
ENSG00000230303.6,-1.3904652,2.46E-19,1.65E-18
ENSG00000230370.1,-2.082199061,7.67E-05,0.000135779
ENSG00000230399.1,-1.557268111,0.001407378,0.002192933
ENSG00000230424.3,-2.879276448,5.23E-06,1.03E-05
ENSG00000230470.1,-1.554805824,8.57E-25,1.07E-23
ENSG00000230499.1,-1.145352996,9.85E-08,2.27E-07
ENSG00000230513.4,-1.49899829,0.026890486,0.035959107
ENSG00000230537.2,-1.674326862,0.001711599,0.00264266
ENSG00000230587.5,-1.414665489,1.65E-28,3.65E-27
ENSG00000230749.5,-1.207854388,1.06E-14,4.48E-14
ENSG00000230769.1,-3.411309431,0.006526003,0.009425459
ENSG00000230789.1,-2.430516868,0.000257969,0.000434329
ENSG00000230798.7,-1.047541354,1.31E-11,4.28E-11
ENSG00000230806.1,-1.96045086,0.010320974,0.014554235
ENSG00000230902.1,-1.53471374,4.94E-06,9.77E-06
ENSG00000230928.1,-2.188504625,7.48E-07,1.60E-06
ENSG00000231035.1,-2.674564085,3.34E-14,1.35E-13
ENSG00000231123.1,-2.063235928,3.51E-24,4.10E-23
ENSG00000231132.1,-1.978512496,6.77E-21,5.38E-20
ENSG00000231154.1,-1.642027087,5.21E-13,1.91E-12
ENSG00000231167.3,-1.032264101,1.61E-11,5.19E-11
ENSG00000231181.1,-1.272288783,0.002882072,0.004337817
ENSG00000231233.3,-1.173010519,2.44E-10,7.10E-10
ENSG00000231241.1,-1.112609197,2.44E-14,1.00E-13
ENSG00000231245.2,-2.750362236,0.000104781,0.000183097
ENSG00000231246.3,-2.317533886,1.76E-30,5.71E-29
ENSG00000231357.1,-1.360528171,0.002822156,0.004250974
ENSG00000231414.1,-2.025275108,4.55E-08,1.08E-07
ENSG00000231468.2,-1.958916964,5.63E-14,2.23E-13
ENSG00000231475.3,-1.117020746,0.00393155,0.005822529
ENSG00000231528.3,-1.870614412,7.94E-05,0.0001403
ENSG00000231533.2,-3.990583541,1.44E-23,1.55E-22
ENSG00000231562.1,-1.506647309,7.97E-05,0.00014079
ENSG00000231606.2,-5.917803118,1.32E-26,2.14E-25
ENSG00000231621.3,-1.217440553,7.74E-09,1.97E-08
ENSG00000231703.2,-1.057259836,5.24E-35,5.89E-33
ENSG00000231729.1,-1.55369813,4.73E-10,1.34E-09
ENSG00000231755.1,-5.970359786,2.14E-06,4.37E-06
ENSG00000231756.1,-6.882690181,2.36E-05,4.41E-05
ENSG00000231784.8,-4.184021321,1.69E-05,3.20E-05
ENSG00000231969.4,-2.953007375,3.74E-14,1.51E-13
ENSG00000231981.3,-1.442606152,1.27E-10,3.79E-10
ENSG00000232021.9,-1.158745324,5.64E-10,1.59E-09
ENSG00000232031.1,-2.0694327,3.76E-10,1.08E-09
ENSG00000232036.2,-1.322003775,3.85E-26,5.89E-25
ENSG00000232044.8,-1.564154831,0.000294339,0.000492831
ENSG00000232093.1,-3.164420229,1.36E-10,4.04E-10
ENSG00000232131.1,-2.272848772,3.25E-06,6.53E-06
ENSG00000232136.2,-1.15558105,0.000161489,0.000277404
ENSG00000232162.1,-1.05896588,0.000209325,0.000355631
ENSG00000232187.1,-1.139499323,3.51E-05,6.44E-05
ENSG00000232259.1,-3.238792569,4.81E-05,8.69E-05
ENSG00000232282.1,-1.906121404,0.016250897,0.02237325
ENSG00000232284.9,-1.012112695,2.87E-27,5.18E-26
ENSG00000232290.1,-1.347201047,2.74E-18,1.66E-17
ENSG00000232344.2,-3.26571873,1.55E-17,8.67E-17
ENSG00000232354.8,-1.249544728,6.39E-19,4.11E-18
ENSG00000232467.2,-1.28490478,1.16E-05,2.22E-05
ENSG00000232591.3,-1.158470352,3.84E-13,1.42E-12
ENSG00000232600.3,-1.292151495,2.90E-19,1.94E-18
ENSG00000232615.4,-2.444743619,5.23E-08,1.24E-07
ENSG00000232653.9,-1.458423988,5.22E-15,2.29E-14
ENSG00000232692.1,-3.977875576,8.02E-15,3.44E-14
ENSG00000232792.2,-2.216416746,0.03686368,0.048432038
ENSG00000232830.5,-1.763139797,3.25E-09,8.58E-09
ENSG00000232878.3,-3.508793543,9.49E-06,1.83E-05
ENSG00000232891.1,-1.852637506,1.44E-14,6.03E-14
ENSG00000232913.8,-5.962957506,3.72E-05,6.79E-05
ENSG00000232916.1,-2.471712813,0.000571482,0.000928189
ENSG00000233012.2,-1.093041166,3.55E-19,2.35E-18
ENSG00000233021.2,-1.720274756,2.99E-05,5.52E-05
ENSG00000233029.3,-1.047943048,1.68E-10,4.98E-10
ENSG00000233061.1,-1.04118526,2.60E-05,4.82E-05
ENSG00000233077.2,-3.119175122,0.000217045,0.000368135
ENSG00000233178.7,-1.347886524,3.94E-33,2.44E-31
ENSG00000233217.2,-1.496655414,4.44E-19,2.91E-18
ENSG00000233230.3,-2.145664344,0.001827642,0.002812484
ENSG00000233251.8,-3.091875718,4.69E-26,7.08E-25
ENSG00000233266.1,-1.928325655,9.34E-15,3.98E-14
ENSG00000233270.1,-1.597876295,1.08E-13,4.19E-13
ENSG00000233328.3,-1.26906535,9.72E-13,3.48E-12
ENSG00000233339.1,-1.545938317,9.87E-18,5.64E-17
ENSG00000233360.4,-1.640238746,8.10E-11,2.46E-10
ENSG00000233429.9,-2.159036793,1.04E-07,2.39E-07
ENSG00000233588.1,-1.020238883,6.99E-12,2.33E-11
ENSG00000233589.1,-1.687407518,5.90E-28,1.19E-26
ENSG00000233682.3,-6.919104615,3.96E-22,3.60E-21
ENSG00000233723.11,-2.24595238,0.025107801,0.033695692
ENSG00000233799.1,-5.37798733,3.09E-09,8.17E-09
ENSG00000233806.9,-1.285172099,0.00049854,0.000814896
ENSG00000233818.1,-1.710324558,2.38E-13,8.97E-13
ENSG00000233851.1,-3.667262036,3.37E-20,2.50E-19
ENSG00000233924.1,-1.832820958,3.90E-24,4.53E-23
ENSG00000233956.1,-1.474975613,4.79E-10,1.36E-09
ENSG00000233966.1,-3.828350443,4.19E-12,1.42E-11
ENSG00000233980.1,-1.015234397,0.000112981,0.000196911
ENSG00000234211.2,-1.174601829,0.000229956,0.000389151
ENSG00000234241.1,-1.078421805,2.49E-12,8.62E-12
ENSG00000234257.1,-1.087899167,1.31E-18,8.18E-18
ENSG00000234285.1,-1.266794664,3.42E-10,9.83E-10
ENSG00000234289.6,-1.789673105,4.32E-23,4.41E-22
ENSG00000234323.10,-2.325726413,1.76E-12,6.16E-12
ENSG00000234383.1,-1.661065477,4.39E-25,5.75E-24
ENSG00000234390.4,-1.169763396,0.019965439,0.027153245
ENSG00000234450.1,-1.698025814,0.000681193,0.00109795
ENSG00000234459.1,-2.339445458,6.12E-30,1.78E-28
ENSG00000234465.11,-1.462161894,7.29E-17,3.81E-16
ENSG00000234562.1,-1.730494472,8.38E-15,3.59E-14
ENSG00000234578.1,-2.617569033,3.53E-23,3.64E-22
ENSG00000234593.3,-1.6878018,8.52E-17,4.42E-16
ENSG00000234604.2,-1.842193069,2.36E-09,6.31E-09
ENSG00000234719.9,-1.170638419,7.36E-12,2.45E-11
ENSG00000234740.1,-1.106921141,1.12E-14,4.73E-14
ENSG00000234779.1,-4.114018663,0.000115557,0.000201137
ENSG00000234806.1,-1.213512417,1.58E-16,7.98E-16
ENSG00000234816.2,-1.016259526,4.53E-18,2.68E-17
ENSG00000234818.1,-2.180544569,0.003325213,0.004965316
ENSG00000234825.3,-2.862951813,2.36E-15,1.07E-14
ENSG00000234943.2,-2.984455227,6.14E-27,1.05E-25
ENSG00000234961.1,-1.112374142,9.53E-13,3.41E-12
ENSG00000234965.3,-1.050483682,5.21E-13,1.91E-12
ENSG00000234996.4,-1.745258323,8.82E-15,3.77E-14
ENSG00000234999.1,-1.057749849,7.09E-09,1.81E-08
ENSG00000235001.3,-1.215886663,1.25E-12,4.44E-12
ENSG00000235020.5,-3.670785211,8.61E-18,4.95E-17
ENSG00000235065.1,-1.23778948,3.04E-08,7.36E-08
ENSG00000235084.3,-3.606429476,2.96E-05,5.45E-05
ENSG00000235086.1,-1.49540318,2.61E-20,1.96E-19
ENSG00000235105.1,-1.71028796,3.44E-16,1.69E-15
ENSG00000235251.2,-3.521595806,1.52E-09,4.12E-09
ENSG00000235279.1,-3.325495093,1.34E-20,1.04E-19
ENSG00000235304.2,-1.431216722,1.20E-21,1.03E-20
ENSG00000235314.1,-2.158127096,5.35E-10,1.51E-09
ENSG00000235369.1,-2.343922318,0.000242711,0.000409652
ENSG00000235387.5,-1.183316804,5.33E-09,1.38E-08
ENSG00000235422.1,-1.12674125,1.14E-23,1.25E-22
ENSG00000235429.1,-3.067182154,1.04E-08,2.61E-08
ENSG00000235532.2,-2.002809088,3.24E-10,9.35E-10
ENSG00000235560.4,-2.836398833,9.75E-08,2.25E-07
ENSG00000235579.1,-1.021790841,0.000107991,0.000188503
ENSG00000235587.2,-1.617060275,2.79E-18,1.68E-17
ENSG00000235631.2,-1.236865906,4.42E-09,1.15E-08
ENSG00000235687.10,-3.226552732,5.19E-23,5.23E-22
ENSG00000235748.1,-2.338207804,4.42E-30,1.32E-28
ENSG00000235784.2,-1.038319625,0.000581268,0.000942885
ENSG00000235785.1,-1.134333275,2.38E-09,6.35E-09
ENSG00000235786.1,-1.660909179,5.39E-06,1.06E-05
ENSG00000235888.5,-2.431035826,7.84E-12,2.60E-11
ENSG00000235914.2,-1.931449796,6.19E-11,1.90E-10
ENSG00000235917.1,-1.169109723,0.002916829,0.004386685
ENSG00000235927.4,-2.763982646,3.83E-21,3.12E-20
ENSG00000235937.1,-1.127001768,3.64E-09,9.55E-09
ENSG00000235958.5,-1.119490235,3.66E-05,6.69E-05
ENSG00000236039.3,-2.588043334,0.000165095,0.000283312
ENSG00000236137.1,-1.643201868,9.09E-11,2.75E-10
ENSG00000236254.1,-2.650861394,5.96E-05,0.000106813
ENSG00000236434.2,-1.60306288,2.64E-05,4.89E-05
ENSG00000236474.1,-3.82102708,0.000607447,0.000983738
ENSG00000236494.3,-1.44698552,2.41E-28,5.20E-27
ENSG00000236521.1,-1.195115299,6.42E-13,2.33E-12
ENSG00000236776.1,-3.184366535,2.31E-14,9.48E-14
ENSG00000236801.1,-1.382139754,7.27E-26,1.07E-24
ENSG00000236814.1,-1.554660853,4.59E-06,9.10E-06
ENSG00000236915.3,-1.909843849,6.64E-15,2.88E-14
ENSG00000236973.2,-1.843659309,1.30E-12,4.61E-12
ENSG00000236992.2,-3.186462021,3.82E-22,3.48E-21
ENSG00000237011.1,-1.125949707,1.97E-18,1.21E-17
ENSG00000237015.1,-1.677968946,2.44E-12,8.45E-12
ENSG00000237037.9,-6.299543659,1.21E-05,2.32E-05
ENSG00000237065.2,-1.637550153,7.31E-07,1.56E-06
ENSG00000237118.3,-2.198458405,9.16E-13,3.29E-12
ENSG00000237125.13,-1.149620784,7.78E-29,1.84E-27
ENSG00000237126.8,-3.805857003,3.91E-07,8.57E-07
ENSG00000237130.1,-3.057004083,7.18E-05,0.000127497
ENSG00000237170.3,-1.892804959,0.006955119,0.010007998
ENSG00000237264.4,-1.451616914,0.002088122,0.003192503
ENSG00000237353.7,-4.182858376,5.92E-11,1.82E-10
ENSG00000237380.7,-1.617216621,2.83E-30,8.76E-29
ENSG00000237461.3,-3.879828208,0.001810633,0.002787568
ENSG00000237476.2,-1.124208641,2.07E-05,3.89E-05
ENSG00000237489.5,-1.070981673,1.01E-05,1.94E-05
ENSG00000237512.7,-1.717350776,3.06E-10,8.83E-10
ENSG00000237525.7,-1.067680933,6.86E-08,1.61E-07
ENSG00000237568.1,-2.325016271,3.80E-23,3.90E-22
ENSG00000237593.1,-1.03761695,2.92E-07,6.48E-07
ENSG00000237594.2,-1.323089792,4.56E-16,2.20E-15
ENSG00000237686.8,-1.490667939,2.76E-05,5.11E-05
ENSG00000237734.1,-2.210005313,1.63E-17,9.09E-17
ENSG00000237773.8,-1.031008594,2.57E-13,9.65E-13
ENSG00000237887.1,-2.107435944,1.56E-29,4.13E-28
ENSG00000237975.7,-1.286475251,8.34E-21,6.58E-20
ENSG00000237984.3,-1.448902664,3.28E-12,1.12E-11
ENSG00000237986.4,-1.240403558,1.32E-33,9.47E-32
ENSG00000238000.1,-1.517452652,1.21E-19,8.44E-19
ENSG00000238039.1,-2.022406764,3.17E-10,9.14E-10
ENSG00000238042.5,-1.933802252,4.29E-19,2.82E-18
ENSG00000238055.1,-1.037696318,1.22E-10,3.64E-10
ENSG00000238103.4,-1.985088238,0.002470865,0.003748894
ENSG00000238140.1,-1.244136459,0.040044805,0.05233347
ENSG00000238228.1,-1.097765705,1.40E-17,7.86E-17
ENSG00000238279.3,-1.583068023,6.71E-07,1.44E-06
ENSG00000238286.1,-1.917212527,1.29E-17,7.29E-17
ENSG00000238300.1,-1.121241227,1.58E-06,3.28E-06
ENSG00000238650.1,-2.478100193,8.93E-14,3.48E-13
ENSG00000238711.1,-1.147913335,4.56E-07,9.94E-07
ENSG00000238713.1,-1.112743414,0.01246306,0.017391807
ENSG00000238755.3,-5.060690634,1.55E-08,3.86E-08
ENSG00000239218.2,-1.200615486,1.49E-29,3.98E-28
ENSG00000239465.1,-1.397727781,4.43E-08,1.06E-07
ENSG00000239553.3,-1.266059179,2.21E-13,8.34E-13
ENSG00000239627.3,-1.230494283,2.38E-10,6.94E-10
ENSG00000239763.2,-1.099793566,7.00E-13,2.54E-12
ENSG00000239801.1,-3.626620195,6.84E-07,1.47E-06
ENSG00000239946.1,-1.443732037,5.15E-19,3.36E-18
ENSG00000239948.2,-1.055534327,2.67E-08,6.49E-08
ENSG00000239961.3,-1.210865885,7.74E-13,2.80E-12
ENSG00000240002.1,-3.089619121,1.06E-20,8.32E-20
ENSG00000240216.7,-1.244610065,1.01E-13,3.90E-13
ENSG00000240411.2,-1.016168144,2.27E-20,1.72E-19
ENSG00000240449.1,-1.517170884,5.71E-11,1.76E-10
ENSG00000240487.1,-1.367102595,6.55E-13,2.38E-12
ENSG00000240499.7,-1.419237263,1.03E-10,3.09E-10
ENSG00000240505.9,-1.60825407,0.003325213,0.004965316
ENSG00000240563.2,-6.894010953,1.61E-09,4.36E-09
ENSG00000240661.3,-1.613670469,4.53E-31,1.71E-29
ENSG00000240671.4,-1.902296624,0.030081446,0.03999428
ENSG00000240767.3,-1.766225381,5.74E-10,1.62E-09
ENSG00000240808.1,-1.778025471,3.62E-15,1.61E-14
ENSG00000240925.1,-4.402606346,7.13E-26,1.05E-24
ENSG00000241106.8,-1.172289591,1.38E-13,5.30E-13
ENSG00000241111.1,-2.946052291,1.48E-23,1.59E-22
ENSG00000241211.1,-1.455228973,2.84E-12,9.77E-12
ENSG00000241230.3,-2.231288523,6.33E-20,4.55E-19
ENSG00000241295.1,-1.501478913,4.66E-24,5.37E-23
ENSG00000241360.2,-1.144404985,1.66E-11,5.35E-11
ENSG00000241478.1,-1.913554705,2.84E-18,1.71E-17
ENSG00000241490.1,-1.209576489,6.42E-13,2.33E-12
ENSG00000241506.1,-1.37462952,3.99E-10,1.14E-09
ENSG00000241568.3,-1.478706728,7.39E-16,3.50E-15
ENSG00000241644.2,-1.51902682,2.08E-29,5.43E-28
ENSG00000241684.8,-1.022360266,1.52E-36,3.35E-34
ENSG00000241983.3,-2.802878127,1.25E-05,2.39E-05
ENSG00000242087.2,-1.422254747,1.81E-06,3.72E-06
ENSG00000242114.6,-2.160646021,1.05E-21,9.09E-21
ENSG00000242147.3,-2.438487103,7.45E-09,1.90E-08
ENSG00000242198.1,-1.234308607,0.000126897,0.000220165
ENSG00000242428.6,-1.397572566,1.78E-13,6.79E-13
ENSG00000242522.1,-2.335566408,3.13E-13,1.17E-12
ENSG00000242540.3,-1.081438294,9.33E-18,5.34E-17
ENSG00000242759.10,-1.016095266,1.84E-28,4.05E-27
ENSG00000242798.1,-1.947418173,7.18E-08,1.68E-07
ENSG00000242808.12,-4.391181214,2.74E-15,1.23E-14
ENSG00000242829.1,-3.518449519,1.22E-06,2.56E-06
ENSG00000242865.3,-1.082117679,0.021584279,0.029221427
ENSG00000242888.1,-1.096167642,1.16E-07,2.67E-07
ENSG00000242951.1,-1.036196661,4.45E-08,1.06E-07
ENSG00000242999.3,-1.723926874,0.002746792,0.004142948
ENSG00000243250.1,-1.349719707,1.58E-13,6.02E-13
ENSG00000243314.1,-1.710396382,0.009378172,0.013287657
ENSG00000243410.1,-3.083434433,7.70E-05,0.00013627
ENSG00000243431.1,-2.137062932,7.98E-23,7.88E-22
ENSG00000243479.3,-1.228701585,5.85E-09,1.51E-08
ENSG00000243710.8,-2.022892454,1.04E-15,4.84E-15
ENSG00000243836.7,-3.853349139,1.75E-16,8.78E-16
ENSG00000243911.3,-2.318562539,2.06E-07,4.63E-07
ENSG00000243926.3,-1.081339195,3.18E-06,6.39E-06
ENSG00000243970.6,-1.851779137,0.02026064,0.027527868
ENSG00000243979.2,-1.298205878,7.11E-18,4.12E-17
ENSG00000243986.2,-1.478430626,3.38E-12,1.16E-11
ENSG00000244378.1,-5.138003507,0.000168157,0.000288293
ENSG00000244468.1,-1.417972994,6.07E-06,1.19E-05
ENSG00000244586.1,-1.324533505,0.046702077,0.060461754
ENSG00000244649.5,-1.069964702,1.29E-16,6.58E-16
ENSG00000244733.5,-1.686831634,1.14E-15,5.32E-15
ENSG00000244968.7,-2.09883418,7.83E-34,5.84E-32
ENSG00000245112.2,-1.29938555,1.53E-05,2.90E-05
ENSG00000245311.2,-1.178269885,4.57E-11,1.42E-10
ENSG00000245522.2,-1.132167421,3.58E-06,7.17E-06
ENSG00000245526.13,-2.278008576,1.04E-13,4.03E-13
ENSG00000245928.2,-1.533399023,0.000894637,0.001423427
ENSG00000245954.10,-1.147661358,5.89E-11,1.81E-10
ENSG00000246084.7,-2.173873052,2.53E-10,7.36E-10
ENSG00000246100.5,-4.03108687,0.011140848,0.015644931
ENSG00000246225.7,-1.941374503,2.04E-07,4.59E-07
ENSG00000246308.4,-3.852423821,9.07E-15,3.87E-14
ENSG00000246465.1,-2.220426055,7.91E-16,3.74E-15
ENSG00000246790.2,-1.459137852,1.86E-05,3.50E-05
ENSG00000246898.2,-1.250369672,8.37E-08,1.95E-07
ENSG00000246985.8,-1.751787715,5.16E-24,5.92E-23
ENSG00000247134.8,-1.684141741,0.000558039,0.000907364
ENSG00000247877.8,-2.345866842,0.002206942,0.003364604
ENSG00000248206.2,-1.26550337,1.15E-09,3.15E-09
ENSG00000248222.5,-1.122995234,3.00E-29,7.63E-28
ENSG00000248238.2,-1.252914617,1.48E-12,5.21E-12
ENSG00000248268.1,-1.114525132,3.36E-10,9.67E-10
ENSG00000248360.7,-4.292935109,2.74E-25,3.68E-24
ENSG00000248362.1,-1.195489463,1.84E-10,5.42E-10
ENSG00000248393.1,-1.046903372,1.00E-21,8.72E-21
ENSG00000248394.1,-1.129731138,0.000100513,0.000175941
ENSG00000248441.9,-1.919516458,4.61E-30,1.37E-28
ENSG00000248485.2,-1.752721855,0.002562474,0.003880592
ENSG00000248538.10,-1.918836864,5.57E-11,1.72E-10
ENSG00000248610.1,-1.551684907,0.000127849,0.00022174
ENSG00000248682.1,-1.227007766,3.73E-12,1.27E-11
ENSG00000248693.1,-1.33122482,1.71E-12,6.00E-12
ENSG00000248785.1,-2.712327437,1.32E-08,3.29E-08
ENSG00000248870.1,-1.654831266,4.53E-28,9.35E-27
ENSG00000248873.1,-2.417439654,6.18E-19,3.99E-18
ENSG00000248885.1,-1.362986358,4.64E-08,1.10E-07
ENSG00000248994.2,-1.640699672,6.94E-29,1.65E-27
ENSG00000249001.6,-1.61948137,1.63E-17,9.09E-17
