Genes,log2foldChange,pValues,FDR
ENSG00000163749.18,-2.176689441,4.09E-29,1.02E-27
ENSG00000163815.6,-1.228465351,3.77E-33,2.35E-31
ENSG00000163827.14,-3.159565763,2.73E-29,7.02E-28
ENSG00000163873.10,-3.220152849,1.17E-27,2.26E-26
ENSG00000163884.4,-1.691699742,8.10E-29,1.90E-27
ENSG00000163888.4,-1.792052827,3.10E-19,2.07E-18
ENSG00000163915.7,-3.614793713,0.015530569,0.021427714
ENSG00000164037.17,-1.379410911,2.54E-12,8.78E-12
ENSG00000164099.3,-1.448150437,1.02E-09,2.82E-09
ENSG00000164107.9,-3.154012373,2.52E-20,1.89E-19
ENSG00000164128.7,-1.094291832,1.20E-15,5.59E-15
ENSG00000164265.9,-1.832459195,1.13E-11,3.69E-11
ENSG00000164362.21,-2.164356177,7.25E-15,3.13E-14
ENSG00000164406.8,-1.165593418,8.58E-26,1.25E-24
ENSG00000164418.22,-1.148381816,0.000245341,0.000413931
ENSG00000164485.15,-1.351777564,0.042137344,0.054904392
ENSG00000164509.16,-1.47540598,1.86E-13,7.06E-13
ENSG00000164530.15,-1.938809007,2.79E-25,3.75E-24
ENSG00000164619.10,-2.442975665,1.69E-21,1.43E-20
ENSG00000164736.6,-1.473330467,1.03E-27,2.00E-26
ENSG00000164879.7,-1.697585574,5.65E-13,2.07E-12
ENSG00000164935.6,-2.404366663,2.20E-15,9.95E-15
ENSG00000165121.13,-1.038343379,6.90E-14,2.71E-13
ENSG00000165152.9,-2.313360269,1.39E-29,3.72E-28
ENSG00000165194.15,-1.29833972,1.57E-33,1.10E-31
ENSG00000165309.14,-1.377226376,8.28E-06,1.60E-05
ENSG00000165376.12,-2.918743038,5.83E-06,1.15E-05
ENSG00000165379.14,-2.243816948,1.33E-32,7.11E-31
ENSG00000165449.12,-1.230916417,1.59E-12,5.59E-12
ENSG00000165646.14,-1.584504911,3.11E-10,8.98E-10
