Genes,log2foldChange,pValues,FDR
ENSG00000130294.18,3.441738973,1.17E-05,2.24E-05
ENSG00000130429.16,2.323157647,8.03E-10,2.24E-09
ENSG00000130487.9,1.465124491,1.18E-14,4.96E-14
ENSG00000131188.12,1.282228382,5.00E-12,1.68E-11
ENSG00000131203.13,2.744689081,1.15E-27,2.22E-26
ENSG00000131686.15,1.167064456,5.23E-06,1.03E-05
ENSG00000131721.6,1.793472774,1.41E-13,5.41E-13
ENSG00000131982.5,1.645224744,1.51E-11,4.89E-11
ENSG00000132164.10,3.487541205,1.23E-09,3.36E-09
ENSG00000132517.15,1.10506967,0.000408065,0.000673107
ENSG00000132681.17,6.778678062,1.72E-10,5.06E-10
ENSG00000132692.19,1.371120439,1.87E-06,3.84E-06
ENSG00000133063.16,7.855866695,7.73E-06,1.50E-05
ENSG00000133124.12,1.506941862,1.36E-12,4.79E-12
ENSG00000133169.6,2.011258117,2.13E-19,1.44E-18
ENSG00000133661.17,2.359668449,2.70E-06,5.48E-06
ENSG00000133958.14,1.118379058,0.000234981,0.000397151
ENSG00000134020.8,2.28478346,9.22E-27,1.53E-25
ENSG00000134028.14,3.601520482,2.25E-32,1.14E-30
ENSG00000134115.13,2.338501273,1.08E-09,2.98E-09
ENSG00000134184.13,1.124858555,0.04490696,0.058270566
ENSG00000134376.17,3.024748933,2.23E-12,7.73E-12
ENSG00000134545.14,1.623375374,0.005454428,0.00795231
ENSG00000134690.11,1.492516343,5.66E-38,4.04E-35
ENSG00000135094.11,1.609986351,2.40E-32,1.21E-30
ENSG00000135114.14,1.068781222,2.59E-22,2.41E-21
ENSG00000135226.18,2.05077777,0.00293435,0.004411306
ENSG00000135451.13,2.052788609,4.83E-34,3.90E-32
ENSG00000135476.12,1.236231107,5.03E-33,3.01E-31
ENSG00000135773.13,1.042051513,0.02195326,0.029699988
ENSG00000135903.20,1.383367316,2.36E-08,5.77E-08
ENSG00000135960.10,3.044271132,0.020014377,0.027211355
ENSG00000136231.14,3.347246299,3.41E-14,1.38E-13
ENSG00000136541.15,3.999613629,2.48E-28,5.34E-27
ENSG00000136872.21,3.865978643,1.18E-17,6.66E-17
ENSG00000137310.13,1.127806846,1.57E-24,1.92E-23
ENSG00000137331.12,1.134671495,1.06E-06,2.24E-06
ENSG00000137440.5,1.517180947,0.000247109,0.000416753
ENSG00000137463.5,2.31689838,6.03E-19,3.89E-18
ENSG00000137571.11,1.874913453,3.05E-22,2.81E-21
ENSG00000137634.10,4.826274367,6.18E-09,1.59E-08
ENSG00000137675.5,1.859809169,8.92E-17,4.62E-16
ENSG00000137731.14,2.506662186,9.08E-25,1.13E-23
ENSG00000137745.13,1.384508701,7.05E-18,4.09E-17
ENSG00000138039.15,5.857622885,2.08E-15,9.47E-15
ENSG00000138075.14,2.329887014,3.43E-22,3.14E-21
ENSG00000138115.15,4.187348357,2.55E-07,5.68E-07
ENSG00000138180.16,1.888199447,1.17E-38,2.24E-35
ENSG00000138316.11,1.451717206,6.73E-30,1.93E-28
ENSG00000138379.5,2.348546235,5.59E-14,2.22E-13
ENSG00000138623.10,1.183796319,8.89E-29,2.08E-27
ENSG00000138650.9,2.878452426,1.22E-09,3.33E-09
ENSG00000138755.6,1.096192669,1.56E-28,3.50E-27
ENSG00000138944.8,1.675072087,3.82E-14,1.54E-13
ENSG00000139330.6,4.849450317,1.64E-13,6.27E-13
ENSG00000139445.18,2.168547075,3.64E-17,1.96E-16
ENSG00000139540.12,1.967081113,5.10E-06,1.01E-05
ENSG00000139574.9,1.418025469,7.76E-17,4.04E-16
ENSG00000139734.19,1.380986543,1.47E-35,2.12E-33
ENSG00000140015.20,2.985052381,3.59E-22,3.28E-21
ENSG00000140254.13,1.836944342,0.011647913,0.016315909
ENSG00000140379.9,2.691695739,6.52E-29,1.56E-27
ENSG00000140451.13,1.687478727,1.48E-32,7.83E-31
ENSG00000140459.18,3.458905008,3.71E-14,1.50E-13
ENSG00000140798.17,5.459624962,5.24E-05,9.43E-05
ENSG00000141665.13,3.187628047,0.000786384,0.001259421
ENSG00000142252.11,1.896820829,3.52E-10,1.01E-09
ENSG00000142515.16,1.819609471,1.07E-19,7.49E-19
ENSG00000142945.13,1.218210907,6.53E-38,4.36E-35
ENSG00000143171.13,1.994510646,6.95E-25,8.83E-24
ENSG00000143195.13,2.297372362,7.89E-12,2.62E-11
ENSG00000143228.13,2.32189425,3.23E-37,1.10E-34
ENSG00000143257.12,2.179150398,4.28E-06,8.50E-06
ENSG00000143450.19,1.195489711,2.50E-17,1.37E-16
ENSG00000143476.18,1.152771347,3.85E-37,1.26E-34
ENSG00000143546.10,1.20451463,3.56E-13,1.32E-12
ENSG00000143570.19,1.334943565,5.47E-17,2.89E-16
ENSG00000143590.14,2.301933971,2.28E-16,1.14E-15
ENSG00000143921.9,1.981830188,0.001242435,0.001947599
ENSG00000144029.14,2.585446931,1.55E-11,5.01E-11
ENSG00000144290.17,2.342207617,0.000128327,0.000222531
ENSG00000144395.18,1.005556713,8.43E-31,2.98E-29
ENSG00000144410.5,2.119454051,1.07E-11,3.50E-11
ENSG00000145002.13,1.193128429,4.02E-06,8.02E-06
ENSG00000145242.14,1.453105458,2.52E-13,9.45E-13
ENSG00000145649.8,1.129335222,2.33E-18,1.42E-17
ENSG00000145832.16,3.062010634,9.72E-10,2.69E-09
ENSG00000145879.11,1.367276617,1.76E-15,8.05E-15
ENSG00000145888.11,1.352279265,7.88E-07,1.68E-06
ENSG00000145975.15,1.049851914,3.53E-14,1.43E-13
ENSG00000146147.15,1.108746425,0.001195395,0.001877218
ENSG00000146215.14,2.19556885,2.75E-09,7.30E-09
ENSG00000146352.13,1.000904701,1.50E-13,5.75E-13
ENSG00000146469.13,1.235704562,1.32E-15,6.09E-15
ENSG00000146521.12,1.891805148,0.006489839,0.009374992
ENSG00000146670.10,1.87327058,9.22E-38,5.23E-35
ENSG00000146678.10,1.361542822,1.20E-18,7.56E-18
ENSG00000147117.8,2.134533155,4.22E-12,1.43E-11
ENSG00000147168.14,3.196043431,1.46E-15,6.73E-15
ENSG00000147256.12,2.212119697,8.63E-12,2.85E-11
ENSG00000147536.12,1.07393599,1.19E-31,5.03E-30
ENSG00000147588.7,1.525191251,2.45E-15,1.11E-14
ENSG00000147724.12,2.0794069,1.56E-14,6.50E-14
ENSG00000147804.10,1.543649915,7.57E-25,9.55E-24
ENSG00000147889.18,1.431455774,2.63E-20,1.97E-19
ENSG00000148123.15,1.982313252,2.07E-24,2.48E-23
ENSG00000149380.12,1.17129899,6.44E-20,4.63E-19
ENSG00000149599.16,3.155827474,2.33E-07,5.22E-07
ENSG00000149654.11,1.230853474,5.91E-20,4.27E-19
ENSG00000150275.20,1.039598159,1.63E-14,6.77E-14
ENSG00000150337.14,1.36189162,1.59E-37,7.15E-35
ENSG00000150394.14,1.300838945,0.000455886,0.000748287
ENSG00000151303.11,2.825353631,1.97E-26,3.13E-25
ENSG00000151572.18,2.682168185,1.11E-08,2.80E-08
ENSG00000152705.8,1.984623987,4.37E-05,7.94E-05
