"","log2foldChange","pValues","FDR"
"ENSG00000104413.18",0.320340559605657,4.41802414319853e-26,6.7015439414462e-25
"ENSG00000104415.14",0.603167041471253,1.5077314258279e-29,4.01769162133514e-28
"ENSG00000104419.17",0.0618012427200634,0.100630937744406,0.123953875162999
"ENSG00000104427.13",-0.199254164764467,1.69737669567705e-14,7.05327741947035e-14
"ENSG00000104432.15",0.0221417810597634,0.101586585726698,0.12505567613179
"ENSG00000104435.14",-4.5698960781426,0.23917710241646,0.276666072344531
"ENSG00000104442.10",0.160779742877335,3.98819569786903e-25,5.24986910941378e-24
"ENSG00000104447.13",0.031669417548888,0.0614134800948353,0.0782101331999956
"ENSG00000104450.13",0.129929847076146,3.89769947052867e-05,7.1141597512845e-05
"ENSG00000104472.10",0.204761647565426,1.49186518731627e-14,6.23222516482939e-14
"ENSG00000104490.18",-0.265125119578432,1.11881568704369e-14,4.73443652556803e-14
"ENSG00000104497.15",0.0433347458481622,0.281921840617475,0.322053885566635
"ENSG00000104517.13",0.0600504730454516,5.87875515091084e-13,2.1483057218347e-12
"ENSG00000104518.11",0.182937433931402,5.81931360674651e-17,3.06463199918479e-16
"ENSG00000104522.16",0.474498967732766,1.01286013650099e-31,4.35090101493302e-30
"ENSG00000104524.14",1.24826145424563,2.65279495483159e-23,2.77597659705355e-22
"ENSG00000104529.19",0.139575834481083,2.04790469015963e-13,7.74969583613647e-13
"ENSG00000104537.17",-0.184455490212375,0.493511172101749,0.536716586041159
"ENSG00000104549.12",0.48920785937444,6.69202088789573e-34,5.11847812101371e-32
"ENSG00000104611.12",0.0588935214444135,0.148131222592396,0.177696054761083
"ENSG00000104613.12",0.052429319953281,3.45770384180742e-05,6.34126013705306e-05
"ENSG00000104626.15",0.317258319878704,6.26735986482472e-15,2.71736209236697e-14
"ENSG00000104635.15",0.0784367356189145,0.000138764817662542,0.000239777787184666
"ENSG00000104643.10",-0.0665399345609079,0.0966952070881322,0.119427322377486
"ENSG00000104660.19",0.122105045573845,3.11991382099444e-16,1.53056424830007e-15
"ENSG00000104671.8",-0.0257973072720618,0.0299422646881687,0.0398161370149933
"ENSG00000104679.12",-0.0257770171211718,0.069604042598747,0.0878456748640511
"ENSG00000104687.14",0.19211319958519,5.95779697574621e-18,3.48391975296687e-17
"ENSG00000104689.10",0.0841260267983455,1.471038748317e-05,2.79577577454645e-05
"ENSG00000104691.16",-0.0138218433055886,0.852449144420423,0.870934966972645
"ENSG00000104695.13",-0.0728627512039469,6.25726092717222e-08,1.4710750413713e-07
"ENSG00000104714.14",-0.0786644910485509,5.82536252824994e-05,0.00010444855261543
"ENSG00000104723.21",-0.115313076782154,0.000241840788997827,0.000408250252592457
"ENSG00000104731.14",0.105110025790478,1.18170845052711e-09,3.23753281698231e-09
"ENSG00000104738.19",0.396621958441206,3.94171185479937e-35,4.77850767978464e-33
"ENSG00000104755.16",-0.0960400174896305,0.0534673297727652,0.0686810098195117
"ENSG00000104756.17",-0.0390427122024188,0.000213152165544864,0.000361832525427636
"ENSG00000104760.17",-0.0756453501979058,0.651011979805463,0.68717308850237
"ENSG00000104763.20",0.0328235650523599,0.0142826651020147,0.0197985908588942
"ENSG00000104765.16",-0.0856283916413094,6.71208885913192e-09,1.72028476141418e-08
"ENSG00000104774.13",0.21329572534195,4.05267148188244e-29,1.00810613966599e-27
"ENSG00000104783.15",0.158272624927922,0.000317064307803511,0.000529263055656988
"ENSG00000104804.9",0.910383369820472,8.45810632896742e-07,1.79876979070697e-06
"ENSG00000104805.17",0.0289218227571075,0.0108518204401858,0.0152607145676725
"ENSG00000104808.8",-1.70173067051157,5.76413433122398e-16,2.75806184201202e-15
"ENSG00000104812.15",0.0628441307936455,3.79051658125656e-05,6.92759707208438e-05
"ENSG00000104814.13",0.520534127161661,1.14339672185644e-11,3.73791524792784e-11
"ENSG00000104823.9",-0.044469155807046,0.0299422646881687,0.0398161370149933
"ENSG00000104824.18",0.144417628921884,6.14149365932069e-33,3.58791908619095e-31
